PRODUCTID,CATEGORY,PRICE,HISTORY.CREATEDAT,HISTORY.CHANGEDAT,NAME,SUPPLIER.PARTNERID,TAXTARIFFCODE,CURRENCY,TYPECODE,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CHANGEDBY.EMPLOYEEID,NAMEID,DESCID
HT-1000,Notebooks,956,20201001,20201001,Notebook Basic 15 with 2 80 GHz quad core  15  LCD  4 GB DDR3 RAM  500 GB Hard Disc  Windows 8 Pro,100000000,1,EUR,PR,33,33,1000000001,1000000002
HT-1001,Notebooks,1249,20201002,20201002,Notebook Basic 17 with 2 80 GHz quad core  17  LCD  4 GB DDR3 RAM  500 GB Hard Disc  Windows 8 Pro,100000001,1,EUR,PR,33,33,1000000003,1000000004
HT-1002,Notebooks,1570,20201003,20201003,Notebook Basic 18 with 2 80 GHz quad core  18  LCD  8 GB DDR3 RAM  1000 GB Hard Disc  Windows 8 Pro,100000002,1,USD,PR,33,33,1000000005,1000000006
HT-1003,Notebooks,1650,20201004,20201004,Notebook Basic 19 with 2 80 GHz quad core  19  LCD  8 GB DDR3 RAM  1000 GB Hard Disc  Windows 8 Pro,100000003,1,EUR,PR,33,33,1000000007,1000000008
HT-1007,Handhelds,499,20201005,20201005,Digital Organizer with State-of-the-Art Storage Encryption,100000004,1,USD,PR,33,33,1000000009,1000000010
HT-1010,Notebooks,1999,20201006,20201006,Notebook Professional 15 with 2 80 GHz quad core  15  Multitouch LCD  8 GB DDR3 RAM  500 GB SSD - DVD-Writer (DVD-R +R -RW -RAM) Windows 8 Pro,100000005,1,EUR,PR,33,33,1000000011,1000000012
HT-1011,Notebooks,2299,20201007,20201007,Notebook Professional 17 with 2 80 GHz quad core  17  Multitouch LCD  8 GB DDR3 RAM  500 GB SSD - DVD-Writer (DVD-R +R -RW -RAM) Windows 8 Pro,100000006,1,JPY,PR,33,33,1000000013,1000000014
HT-1020,Handhelds,129,20201008,20201008,Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications,100000007,1,EUR,PR,33,33,1000000015,1000000016
HT-1021,Handhelds,149,20201009,20201009,Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link,100000008,1,MXN,PR,33,33,1000000017,1000000018
HT-1022,Handhelds,205,20201010,20201010,32 GB Digital Assistant with high-resolution color screen,100000009,1,ARS,PR,33,33,1000000019,1000000020
HT-1023,Handhelds,239,20201011,20201011,64 GB Digital Assistant with high-resolution color screen and synthesized voice output,100000010,1,USD,PR,33,33,1000000021,1000000022
HT-1030,Flat screens,230,20201012,20201012,Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz  Dot Pitch: 0.27mm,100000011,1,EUR,PR,33,33,1000000023,1000000024
HT-1031,Flat screens,285,20201013,20201013,Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz  Dot Pitch: 0.26mm,100000012,1,GBP,PR,33,33,1000000025,1000000026
HT-1032,Flat screens,345,20201014,20201014,Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz  Dot Pitch: 0.25mm,100000013,1,EUR,PR,33,33,1000000027,1000000028
HT-1035,Flat screens,399,20201015,20201015,Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz  Dot Pitch: 0.24mm,100000014,1,USD,PR,33,33,1000000029,1000000030
HT-1036,Flat screens,430,20201016,20201016,Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz  Dot Pitch: 0.26mm,100000015,1,CAD,PR,33,33,1000000031,1000000032
HT-1037,Flat screens,1430,20201017,20201017,Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz  Dot Pitch: 0.24mm,100000016,1,MXN,PR,33,33,1000000033,1000000034
HT-1040,Laser printers,830,20201018,20201018,Print 2400 dpi image quality color documents at speeds of up to 32 ppm (color) or 36 ppm (monochrome)  letter A4. Powerful 500 MHz processor  512MB of memory,100000017,1,EUR,PR,33,33,1000000035,1000000036
HT-1041,Laser printers,490,20201019,20201019,Up to 22 ppm color or 24 ppm monochrome A4 letter  powerful 500 MHz processor and 128MB of memory,100000018,1,ARS,PR,33,33,1000000037,1000000038
HT-1042,Laser printers,349,20201020,20201020,Print up to 25 ppm letter and 24 ppm A4 color or monochrome  with a first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color,100000019,1,EUR,PR,33,33,1000000039,1000000040
HT-1050,Ink jet printers,139,20201021,20201021,4800 dpi x 1200 dpi - up to 35 ppm (mono)   up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB  Ethernet,100000020,1,RUB,PR,33,33,1000000041,1000000042
HT-1051,Ink jet printers,99,20201022,20201022,1000 dpi x 1000 dpi - up to 35 ppm (mono)   up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB - excellent dimensions for the small office,100000021,1,USD,PR,33,33,1000000043,1000000044
HT-1052,Ink jet printers,170,20201023,20201023,4800 dpi x 1200 dpi - up to 35 ppm (mono)   up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB2.0  Ethernet,100000022,1,EUR,PR,33,33,1000000045,1000000046
HT-1055,Multi function printers,99,20201024,20201024,1000 dpi x 1000 dpi - up to 16 ppm (mono)   up to 15 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm  1200dpi x 2400dpi),100000023,1,EUR,PR,33,33,1000000047,1000000048
